City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,tiksi,71.6872,128.8694,6.95,51,1,5.04,RU,1717205296
133,torbat-e heydariyeh,35.274,59.2195,19.14,18,0,2.34,IR,1717205374
134,dudinka,69.4058,86.1778,-1.85,92,100,2.68,RU,1717205374
135,horta,38.5333,-28.6333,17.79,81,82,8.49,PT,1717205375
136,hermanus,-34.4187,19.2345,9.33,82,0,2.49,ZA,1717205301
137,stanley,54.868,-1.6985,9.87,88,40,2.06,GB,1717205308
138,cestos city,5.46,-9.5828,25.93,88,45,1.83,LR,1717205375
139,mount isa,-20.7333,139.5,15.87,82,75,5.66,AU,1717205375
140,chadron,42.8294,-102.9999,18.87,57,0,3.09,US,1717205375
141,tomohon,1.3346,124.8392,26.52,82,100,0.8,ID,1717205376
142,majie,25.0333,102.6361,15.99,88,100,4.0,CN,1717205376
143,revda,56.801,59.9303,10.0,84,86,3.41,RU,1717205376
144,acapulco de juarez,16.8634,-99.8901,29.9,66,0,4.12,MX,1717205285
145,ribeira grande,38.5167,-28.7,18.21,81,82,8.49,PT,1717205302
146,shamgarh,24.1833,75.6333,28.56,65,0,6.57,IN,1717205376
147,cabedelo,-6.9811,-34.8339,25.37,85,39,4.87,BR,1717205377
148,port mathurin,-19.6833,63.4167,24.43,69,98,12.64,MU,1717205333
149,vorgashor,67.5833,63.95,-5.11,95,100,6.98,RU,1717205377
150,jamestown,42.097,-79.2353,13.8,47,0,0.0,US,1717205315
151,talcahuano,-36.7167,-73.1167,11.82,100,100,2.06,CL,1717205371
152,tolanaro,-25.0319,46.9987,20.04,83,0,5.14,MG,1717205309
153,butner,36.1321,-78.7567,19.39,71,47,0.84,US,1717205281
154,pathein,16.7833,94.7333,29.18,77,55,1.89,MM,1717205378
155,meadow lakes,61.6247,-149.6011,18.62,39,0,4.12,US,1717205378
156,vilyuchinsk,52.9306,158.4028,9.15,90,100,3.41,RU,1717205330
157,letlhakane,-21.4167,25.5833,14.53,43,0,2.35,BW,1717205378
158,magadan,59.5667,150.8,5.29,98,100,1.47,RU,1717205098
159,boende,-0.2167,20.8667,22.64,94,29,0.83,CD,1717205379
160,baneasa,44.0461,26.0642,19.86,82,100,1.03,RO,1717205379
161,punta arenas,-53.15,-70.9167,2.06,93,100,2.57,CL,1717205331
162,puerto ayora,-0.7393,-90.3518,21.42,98,10,2.39,EC,1717205307
163,ivatsevichy,52.709,25.3401,11.43,95,5,2.66,BY,1717205379
164,hammerfest,70.6634,23.6821,6.25,100,100,1.03,NO,1717205332
165,prakhon chai,14.6059,103.1208,27.84,75,100,6.67,TH,1717205380
166,batang,-6.4846,110.7083,28.61,74,91,1.03,ID,1717205380
167,klyuchi,52.2667,79.1667,8.93,53,88,2.32,RU,1717205380
168,ilave,-16.0833,-69.6667,3.35,38,7,1.97,PE,1717205380
169,kegen,43.0197,79.2203,8.73,63,7,2.06,KZ,1717205380
170,ta`u,-14.2336,-169.5144,27.58,78,100,12.19,AS,1717205381
171,kununurra,-15.7667,128.7333,22.99,78,100,4.63,AU,1717205326
172,east london,-33.0153,27.9116,17.33,94,100,11.04,ZA,1717205381
173,whitehorse,60.7161,-135.0538,17.79,25,75,4.12,CA,1717205214
174,wailua homesteads,22.0669,-159.378,27.24,78,75,8.23,US,1717205381
175,walvis bay,-22.9575,14.5053,10.61,76,0,1.54,NA,1717205381
176,kristinestad,62.2743,21.376,14.36,87,100,2.47,FI,1717205381
177,yuzhno-kurilsk,44.0306,145.8556,10.21,59,10,1.51,RU,1717205382
178,hamilton,39.1834,-84.5333,20.47,52,0,2.57,US,1717204961
179,arraial do cabo,-22.9661,-42.0278,22.11,65,100,3.96,BR,1717205327
180,edd,13.9297,41.6925,29.05,72,100,4.72,ER,1717205382
181,monrovia,6.3005,-10.7969,25.87,84,100,1.93,LR,1717205382
182,naze,28.3667,129.4833,22.51,87,100,3.6,JP,1717205382
183,tazovsky,67.4667,78.7,-1.74,96,100,8.03,RU,1717205304
184,weligama,5.9667,80.4167,27.66,85,100,4.91,LK,1717205383
185,udachny,66.4167,112.4,13.58,36,100,10.63,RU,1717205324
186,candelaria,13.9311,121.4233,30.2,76,84,2.14,PH,1717205383
187,oshakati,-17.7833,15.6833,15.01,62,0,4.08,NA,1717205383
188,onguday,50.75,86.15,7.85,79,63,1.1,RU,1717205383
189,porto novo,6.4965,2.6036,27.9,85,73,2.23,BJ,1717205329
190,am timan,11.0297,20.2827,30.39,45,100,1.82,TD,1717205384
191,lusambo,-4.9667,23.45,22.09,86,93,0.87,CD,1717205384
192,severo-yeniseyskiy,60.3725,93.0408,-0.24,92,23,1.79,RU,1717205384
193,la ronge,55.1001,-105.2842,12.14,58,75,5.14,CA,1717205285
194,vernon,50.2581,-119.2691,24.02,33,88,0.89,CA,1717205384
195,bima,-8.4667,118.7167,29.56,72,100,1.78,ID,1717205384
196,kailua-kona,19.6406,-155.9956,28.98,76,75,5.14,US,1717205385
197,sparti,37.0733,22.4297,18.86,59,0,0.63,GR,1717205385
198,tot'ma,59.9747,42.7642,11.63,75,0,1.65,RU,1717205385
199,el calafate,-50.3408,-72.2768,1.15,98,100,0.36,AR,1717205385
200,riosucio,5.4216,-75.7032,15.29,95,100,1.26,CO,1717205385
201,jijiga,9.35,42.8,17.16,85,37,4.37,ET,1717205386
202,berdigestyakh,62.0989,126.6992,23.48,31,62,6.05,RU,1717205386
203,kuqa,41.7278,82.9364,20.32,20,100,1.6,CN,1717205386
204,lihue,21.9789,-159.3672,27.58,72,75,8.23,US,1717205386
205,villa gesell,-37.2639,-56.973,11.7,89,100,5.71,AR,1717205386
206,new norfolk,-42.7826,147.0587,12.06,56,3,0.88,AU,1717205315
207,nouadhibou,20.931,-17.0347,18.58,90,0,7.5,MR,1717205386
208,utrik,11.2278,169.8474,28.15,80,95,5.55,MH,1717205300
209,morehead city,34.7229,-76.726,21.02,68,0,2.06,US,1717205387
210,pajapan,18.25,-94.7,30.09,70,45,3.86,MX,1717205387
211,st. john's,47.5649,-52.7093,10.71,96,100,2.24,CA,1717205162
212,beeskow,52.1667,14.25,16.68,89,68,2.98,DE,1717205387
213,rio grande,-32.035,-52.0986,12.75,88,100,4.95,BR,1717205320
214,ilulissat,69.2167,-51.1,-6.64,82,88,2.05,GL,1717205387
215,phan rang-thap cham,11.5667,108.9833,30.0,65,100,1.94,VN,1717205388
216,selfoss,63.9331,-20.9971,8.91,97,100,6.72,IS,1717205388
217,masterton,-40.9597,175.6575,15.61,65,100,6.4,NZ,1717205388
218,tbeng meanchey,13.8167,104.9667,26.38,92,100,1.48,KH,1717205388
219,haiku-pauwela,20.9219,-156.3051,27.32,75,40,11.32,US,1717205388
220,necochea,-38.5473,-58.7368,10.25,81,100,5.33,AR,1717205138
221,talnakh,69.4865,88.3972,-2.11,86,100,11.56,RU,1717205330
222,crane,31.3974,-102.3501,30.27,44,0,9.09,US,1717205389
223,caraballeda,10.6112,-66.8522,28.54,86,96,2.65,VE,1717205389
224,port saint john's,-31.6229,29.5448,17.99,77,100,0.96,ZA,1717205389
225,al kharijah,25.4514,30.5464,25.6,23,0,3.86,EG,1717205389
226,pauini,-7.7136,-66.9764,22.35,76,0,0.72,BR,1717205389
227,codrington,-38.2667,141.9667,11.24,73,91,1.22,AU,1717205390
228,krutaya gorka,55.3649,73.2231,9.82,70,100,5.03,RU,1717205390
229,shumerlya,55.5005,46.4129,14.56,86,4,1.67,RU,1717205390
230,jinghong,21.991,100.7341,25.97,75,100,1.12,CN,1717205390
231,ulysses,37.5814,-101.3552,26.02,44,40,4.12,US,1717205390
232,winnemucca,40.973,-117.7357,28.03,11,0,2.57,US,1717205390
233,rossosh',51.1209,38.5116,15.04,94,53,1.66,RU,1717205391
234,surgut,61.25,73.4167,2.1,93,40,2.0,RU,1717205170
235,novyy rogachik,48.6768,44.0608,21.5,80,100,4.74,RU,1717205391
236,lata,40.1629,-8.3327,16.7,46,0,2.85,PT,1717205391
237,juruti,-2.1522,-56.0922,24.97,92,71,1.12,BR,1717205391
238,qamdo,31.1667,97.2333,11.96,53,96,3.02,CN,1717205319
239,hadibu,12.65,54.0333,28.46,78,44,4.71,YE,1717205392
240,boujniba,32.9005,-6.7746,22.61,42,97,4.65,MA,1717205392
241,wangon,-7.5161,109.0539,26.88,83,100,2.31,ID,1717205392
242,ghanzi,-21.5667,21.7833,13.69,35,0,4.29,BW,1717205392
243,bainbridge,47.6262,-122.5212,22.88,44,0,4.63,US,1717205392
244,manta,-0.95,-80.7333,24.88,88,75,4.63,EC,1717205200
245,kyzyl-suu,42.3414,78.0056,12.46,38,0,1.12,KG,1717205393
246,sharm el-sheikh,27.8518,34.305,27.0,39,0,3.13,EG,1717205393
247,bereznik,62.8551,42.7072,13.19,73,8,1.26,RU,1717205393
248,maha sarakham,16.3333,103.6667,27.73,87,100,3.75,TH,1717205393
249,aconibe,1.2968,10.9369,20.18,100,100,0.92,GQ,1717205393
250,northam,51.0333,-4.2167,10.9,91,16,1.19,GB,1717205394
251,stornoway,58.2093,-6.3865,10.21,89,100,1.03,GB,1717205394
252,ternate,0.8,127.4,28.81,72,69,1.16,ID,1717205394
253,richards bay,-28.783,32.0377,20.01,92,71,1.45,ZA,1717205394
254,mahavelona,-17.6848,49.5087,20.99,95,100,3.49,MG,1717205394
255,manokwari,-0.8667,134.0833,28.43,75,91,3.77,ID,1717205395
256,sisimiut,66.9395,-53.6735,-1.06,77,100,1.94,GL,1717205395
257,adre,13.4667,22.2,29.04,15,85,4.34,TD,1717205395
258,mitu,1.1983,-70.1733,22.04,98,78,0.38,CO,1717205395
259,nuuk,64.1835,-51.7216,0.34,69,100,2.57,GL,1717205395
260,puerto baquerizo moreno,-0.9,-89.6,21.56,87,28,2.74,EC,1717205396
261,beloyarskiy,63.7119,66.6722,-1.11,92,92,1.79,RU,1717205396
262,amahai,-3.3333,128.9167,30.67,80,99,1.51,ID,1717205396
263,eldorado,-23.7869,-54.2836,13.42,69,5,2.54,BR,1717205396
264,awjilah,29.1081,21.2869,29.31,16,0,3.44,LY,1717205396
265,coihueco,-36.6167,-71.8333,11.41,94,100,3.09,CL,1717205215
266,clinton,42.587,-82.9199,21.18,58,75,4.63,US,1717205397
267,hillsdale,41.0026,-74.0404,22.88,48,0,3.6,US,1717205162
268,askoy,60.4092,5.226,14.97,100,100,4.63,NO,1717205397
269,susanville,40.4163,-120.653,26.57,23,82,2.24,US,1717205397
270,eydhafushi,5.1033,73.0708,28.44,83,100,8.92,MV,1717205398
271,puerto deseado,-47.7503,-65.8938,7.36,86,100,2.9,AR,1717205398
272,college,64.8569,-147.8028,20.18,39,75,3.09,US,1717205296
273,chulym,55.0997,80.9572,6.31,67,99,2.97,RU,1717205398
274,malango,-2.9627,119.9001,26.28,68,49,1.34,ID,1717205398
275,cabo san lucas,22.8909,-109.9124,34.17,18,20,7.2,MX,1717205288
276,praia da vitoria,38.7333,-27.0667,18.2,88,20,5.13,PT,1717205399
277,altamont,42.2068,-121.7372,26.33,24,0,2.24,US,1717205399
278,skowhegan,44.7651,-69.7192,19.31,84,81,0.99,US,1717205399
279,papatowai,-46.5619,169.4708,14.97,59,1,8.94,NZ,1717205295
280,tadine,-21.55,167.8833,24.43,63,7,8.79,NC,1717205332
281,nova sintra,14.8667,-24.7167,23.85,76,10,6.04,CV,1717205304
282,daru,-9.0763,143.2092,26.98,88,92,7.54,PG,1717205400
283,urangan,-25.3,152.9,22.33,86,100,2.68,AU,1717205400
284,qinggang,46.6833,126.0833,16.64,54,79,2.81,CN,1717205400
285,kabare,-2.4683,28.8242,16.31,92,96,0.91,CD,1717205400
286,yarmouth,41.7057,-70.2286,17.22,70,0,2.06,US,1717205401
287,dourbali,11.8091,15.8632,30.94,47,63,2.7,TD,1717205401
288,kristiansund,63.1115,7.732,14.03,87,100,2.57,NO,1717205401
289,bikenibeu village,1.3673,173.1241,31.98,66,40,4.12,KI,1717205401
290,tabou,4.423,-7.3528,25.37,87,92,1.37,CI,1717205401
291,mansoa,12.0733,-15.3189,24.11,66,100,2.4,GW,1717205402
292,galle,6.0367,80.217,28.17,83,91,5.92,LK,1717205403
293,mount gambier,-37.8333,140.7667,11.28,79,76,0.34,AU,1717205295
294,puerto lempira,15.2667,-83.7667,26.2,85,100,0.19,HN,1717205404
295,geraldton,-28.7667,114.6,17.23,39,77,8.75,AU,1717205269
296,polyarnyy,69.1989,33.4478,6.64,97,100,2.23,RU,1717205405
297,belyy yar,53.6039,91.3903,7.94,76,0,0.0,RU,1717205405
298,pico truncado,-46.7949,-67.9573,4.41,63,8,3.8,AR,1717205406
299,princeville,45.7668,-61.2985,10.86,79,100,2.06,CA,1717205406
300,abadan,30.3392,48.3043,31.97,22,0,5.14,IR,1717205406
301,salavat,53.3837,55.9077,14.05,90,1,1.11,RU,1717205406
302,newman,37.3138,-121.0208,34.6,30,0,2.68,US,1717205302
303,panyutyne,48.9333,36.2833,16.0,72,0,2.14,UA,1717205406
304,san-pedro,4.7485,-6.6363,24.96,90,63,1.56,CI,1717205407
305,axim,4.8699,-2.2405,26.24,86,100,2.55,GH,1717205407
306,akjoujt,19.6969,-14.4164,22.79,44,0,5.59,MR,1717205407
307,semey,50.4111,80.2275,9.12,66,0,0.0,KZ,1717205301
308,labytnangi,66.6572,66.4183,1.32,81,100,8.11,RU,1717205407
309,molde,62.7375,7.1591,13.91,88,100,2.06,NO,1717205408
310,nikolayevsk-on-amure,53.1406,140.73,22.9,31,54,2.68,RU,1717205306
311,porto torres,40.835,8.3972,16.1,83,0,4.08,IT,1717205408
312,tsiombe,-25.3,45.4833,16.88,68,0,1.94,MG,1717205408
313,matola,-25.9622,32.4589,19.97,94,100,2.57,MZ,1717205408
314,ikom,5.9667,8.7063,23.73,99,100,1.19,NG,1717205409
315,graneros,-34.0667,-70.7333,11.51,65,3,0.5,CL,1717205409
316,robore,-18.3333,-59.75,19.04,62,3,1.82,BO,1717205409
317,kamensk-ural'skiy,56.4185,61.9329,11.62,65,94,5.2,RU,1717205409
318,usogorsk,63.4106,48.6872,10.37,69,19,1.46,RU,1717205409
319,midland,31.9974,-102.0779,31.37,44,0,6.17,US,1717205410
320,puerto madryn,-42.7692,-65.0385,12.21,64,100,10.62,AR,1717205194
321,pemangkat,1.1667,108.9667,27.62,84,93,2.12,ID,1717205410
322,belle chasse,29.8549,-89.9906,26.11,78,75,2.57,US,1717205271
323,mongoumba,3.6415,18.5936,21.91,91,87,0.75,CF,1717205410
324,mirante do paranapanema,-22.2919,-51.9064,12.77,64,1,2.82,BR,1717205410
325,santa terezinha,-29.9002,-50.0904,14.98,84,100,6.97,BR,1717205411
326,ceeldheer,3.8488,47.1806,25.34,84,59,7.71,SO,1717205411
327,akhmim,26.5622,31.745,26.15,22,0,4.15,EG,1717205411
328,kangding,30.0513,101.9603,12.96,95,99,1.7,CN,1717205411
329,cannonvale,-20.2833,148.7,25.33,72,18,2.06,AU,1717205411
330,tabas,33.5959,56.9244,28.98,14,0,2.68,IR,1717205411
331,santa cruz,-17.8,-63.1667,18.7,94,6,2.57,BO,1717205330
332,nola,40.922,14.5329,19.8,84,15,1.25,IT,1717205412
333,alofi,-19.0595,-169.9187,23.94,73,100,8.23,NU,1717205333
334,male,4.1748,73.5089,28.97,89,75,9.77,MV,1717205139
335,lompoc,34.6391,-120.4579,23.34,80,100,3.6,US,1717205314
336,ouani,-12.1322,44.4258,26.96,74,0,3.88,KM,1717205412
337,champerico,14.3,-91.9167,29.1,75,97,2.06,GT,1717205413
338,chernyshevskiy,63.0128,112.4714,22.09,34,3,6.83,RU,1717205413
339,shahrud,36.4182,54.9763,22.7,29,0,0.94,IR,1717205413
340,hiratacho,35.4333,132.8167,22.01,64,0,2.06,JP,1717205413
341,savanna-la-mar,18.219,-78.1332,28.97,87,93,0.25,JM,1717205413
342,sarankhola,22.3082,89.7897,31.63,71,5,4.56,BD,1717205413
343,colonia,50.9333,6.95,15.54,87,100,4.63,DE,1717205164
344,verkh-chebula,56.0308,87.6218,8.43,57,74,2.47,RU,1717205414
345,tura,25.5198,90.2201,26.02,91,49,1.32,IN,1717205303
346,peniche,39.3558,-9.3811,17.27,89,6,2.44,PT,1717205414
347,bintulu,3.1667,113.0333,28.23,89,40,0.0,MY,1717205414
348,yar,58.249,52.1026,12.59,82,9,2.59,RU,1717205415
349,tromso,69.6496,18.957,8.01,93,75,1.54,NO,1717205415
350,barranca,-10.75,-77.7667,17.76,82,67,3.69,PE,1717205415
351,olyokminsk,60.3736,120.4264,25.04,30,32,1.82,RU,1717205415
352,pampas,-12.4,-74.9,4.49,89,0,0.45,PE,1717205415
353,chonchi,-42.6128,-73.8092,5.56,92,18,1.15,CL,1717205310
354,berezovyy,51.6667,135.7,27.89,22,40,1.31,RU,1717205416
355,chumphon,10.3333,98.8333,25.01,87,100,3.26,TH,1717205416
356,mount pearl,47.5166,-52.7813,10.25,96,100,1.54,CA,1717205303
357,chiroqchi,39.0336,66.5722,23.34,34,0,2.15,UZ,1717205416
358,mombetsu,44.3525,143.3525,9.01,87,20,2.06,JP,1717205416
359,limbe,4.0242,9.2149,25.66,89,98,1.13,CM,1717205416
360,arkhangel'sk,64.5401,40.5433,13.96,87,20,1.0,RU,1717205331
361,puerto el triunfo,13.2833,-88.55,28.79,77,100,1.35,SV,1717205417
362,uturoa,-16.7333,-151.4333,26.97,73,10,4.03,PF,1717205417
363,bosaso,11.2842,49.1816,30.23,58,19,1.23,SO,1717205417
364,priargunsk,50.3691,119.1012,25.12,25,14,4.59,RU,1717205417
365,taoudenni,22.6783,-3.9836,31.79,15,6,4.57,ML,1717205417
